Haval;Jolion;初恋
Haval;Dargo;大狗
Haval;H6;哈弗H6|H6
Haval;H9;哈弗H9|H9
Haval;F7;F7
Haval;F7x;F7x
Haval;Chitu;赤兔
Haval;Menglong;猛龙
Haval;Xiaolong;骁龙|枭龙
Haval;Shenshou;神兽
Haval;Kugou;酷狗
Haval;H6 Coupe;H6 Coupe
Tank;300;坦克300|TANK 300
Tank;500;坦克500|TANK 500
Tank;400;坦克400
Tank;700;坦克700
Wey;Mocha;摩卡
Wey;Latte;拿铁
Wey;Lanshan;蓝山
Wey;VV5;VV5
Wey;VV6;VV6
Wey;VV7;VV7
Ora;Funky Cat;好猫
Ora;Lightning Cat;闪电猫
Ora;Ballet Cat;芭蕾猫
Great Wall;Poer;长城炮|炮
Great Wall;Wingle;风骏
Geely;Coolray;缤越
Geely;Atlas;博越|博越PRO
Geely;Atlas Pro;博越L
Geely;Tugella;星越
Geely;Monjaro;星越L
Geely;Emgrand;帝豪
Geely;Okavango;豪越
Geely;Preface;星瑞
Geely;Cityray;缤瑞
Chery;Tiggo 4;瑞虎5x|瑞虎3x
Chery;Tiggo 4 Pro;瑞虎5x
Chery;Tiggo 3;瑞虎3
Chery;Tiggo 5;瑞虎5
Chery;Tiggo 7;瑞虎7
Chery;Tiggo 7 Pro;瑞虎7 PLUS|瑞虎7 PRO|瑞虎7PLUS
Chery;Tiggo 8;瑞虎8
Chery;Tiggo 8 Pro;瑞虎8 PLUS|瑞虎8 PRO|瑞虎8PLUS
Chery;Arrizo 5;艾瑞泽5
Chery;Arrizo 8;艾瑞泽8
Chery;Tiggo 9;瑞虎9
Exeed;TXL;凌云|星途TXL
Exeed;VX;揽月
Exeed;LX;追风
Exeed;Yaoguang;瑶光
Jetour;X70;捷途X70|X70
Jetour;X70 Plus;X70 PLUS|X70PLUS
Jetour;X90;捷途X90|X90
Jetour;X95;X95
Jetour;T2;旅行者
Changan;CS35 Plus;CS35|CS35PLUS|CS35 PLUS
Changan;CS55 Plus;CS55|CS55PLUS|CS55 PLUS
Changan;CS75 Plus;CS75|CS75PLUS|CS75 PLUS
Changan;UNI-T;UNI-T|UNI-T
Changan;UNI-K;UNI-K
Changan;UNI-V;UNI-V
Changan;Eado;逸动
Changan;Alsvin;悦翔
Changan;Hunter;览拓者|凯程
Omoda;C5;欧萌达|OMODA 5
Omoda;C5 EV;欧萌达
Jaecoo;J7;J7
GAC;GS3;传祺GS3|GS3
GAC;GS4;传祺GS4|GS4
GAC;GS8;传祺GS8|GS8
GAC;M8;传祺M8|M8
GAC;Empow;影豹
GAC;Aion S;埃安S|AION S
GAC;Aion Y;埃安Y|AION Y
BYD;Song Plus;宋PLUS|宋PLUS新能源
BYD;Song Pro;宋Pro|宋PRO
BYD;Han;比亚迪汉|汉EV|汉DM
BYD;Tang;比亚迪唐|唐DM
BYD;Qin Plus;秦PLUS|秦PLUS新能源
BYD;Dolphin;海豚
BYD;Seal;海豹
BYD;Atto 3;元PLUS
BYD;Song Max;宋MAX
BYD;Destroyer 05;驱逐舰05
BYD;Frigate 07;护卫舰07
JAC;S3;瑞风S3|S3
JAC;S5;瑞风S5
JAC;T6;T6
JAC;T8;T8
JAC;Refine M3;瑞风M3|M3
JAC;Refine M4;瑞风M4|M4
JAC;iEV7S;iEV7S
FAW;Bestune T77;奔腾T77|T77
FAW;Bestune T55;奔腾T55|T55
FAW;Bestune T33;奔腾T33|T33
FAW;Bestune T99;奔腾T99|T99
FAW;Bestune B70;奔腾B70|B70
Hongqi;H5;红旗H5|H5
Hongqi;HS5;红旗HS5|HS5
Hongqi;H9;红旗H9|H9
Hongqi;E-HS9;红旗E-HS9|E-HS9
Dongfeng;Fengon 580;风光580|580
Dongfeng;Aeolus AX7;风神AX7|AX7
Dongfeng;Aeolus Yixuan;奕炫
Forthing;T5 EVO;风行T5|T5 EVO
Forthing;T5;风行T5
Maxus;D60;上汽大通D60|D60
Maxus;D90;上汽大通D90|D90
Maxus;G10;上汽大通G10|G10
Maxus;T60;上汽大通T60|T60
Maxus;T90;上汽大通T90|T90
Roewe;RX5;荣威RX5|RX5
Roewe;i5;荣威i5|i5
Roewe;i6;荣威i6
Baojun;510;宝骏510|510
Baojun;530;宝骏530|530
Baojun;730;宝骏730|730
Baojun;RS-3;宝骏RS-3|RS-3
Baojun;KiWi EV;宝骏KiWi|KiWi
MG;ZS;MG ZS|ZS
MG;HS;MG HS|HS
MG;MG5;MG5
MG;MG6;MG6
MG;RX5;MG RX5
Lynk & Co;01;领克01
Lynk & Co;03;领克03
Lynk & Co;05;领克05
Lynk & Co;09;领克09
Neta;V;哪吒V|NETA V
